REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,MATRÍCULA
01 - BARAHONA,0103 - BARAHONA,06501 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,06501,84
06 - LA VEGA,0601 - JOSE CONTRERAS,06825 - POLITECNICO JUAN MIGUEL VICENTE MARTIN,06825,84
10 - SANTO DOMINGO,1006 - MENDOZA,14492 - POLITECNICO JUANA SALTITOPA,14492,84
14 - NAGUA,1402 - CABRERA,07352 - POLITECNICO SAN RAFAEL,07352,85
17 - MONTE PLATA,1701 - YAMASA,09147 - POLITECNICO VIRGINIA FIDELINA MATOS  DE LA CRUZ,09147,85
14 - NAGUA,1401 - NAGUA,07319 - CENTRO DE EDUCACION INTEGRAL CARMEN ONEIDA CRUZ EDUARDO,07319,87
18 - BAORUCO,1804 - JIMANI,06894 - POLITECNICO MANUEL NOVAS CUEVAS,06894,87
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,15659 - POLITECNICO SAN FRANCISCO DE ASIS FE Y ALEGRIA,15659,89
06 - LA VEGA,0609 - SAN VICTOR,06836 - POLITECNICO SAN JUAN BAUTISTA DE LA SALLE,06836,89
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,05708 - POLITECNICO PROF. COSME MANUEL JIMENEZ,05708,90
16 - COTUI,1606 - BONAO NORDESTE,09101 - POLITECNICO DE FORMACION INTEGRAL CIGAR FAMILY (CFICF),09101,90
04 - SAN CRISTOBAL,0406 - HAINA,05978 - POLITECNICO OSVALDO BIENVENIDO BAEZ,05978,92
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08826 - COLEGIO DE ESTUDIOS GENERALES Y DE SERVICIOS,08826,92
12 - HIGUEY,1203 - EL SEIBO,06755 - POLITECNICO PEDRO SANCHEZ,06755,92
08 - SANTIAGO,0802 - JANICO,08735 - POLITECNICO DON JUAN HERNANDEZ,08735,95
16 - COTUI,1601 - COTUI,08464 - POLITECNICO MARIA DOLORES VELASQUEZ ROMERO,08464,97
16 - COTUI,1606 - BONAO NORDESTE,13523 - CENTRO EDUCATIVO EN ARTES PROF. RAMON AGUSTIN CORCINO ACOSTA,13523,98
06 - LA VEGA,0605 - LA VEGA ESTE,07298 - POLITECNICO ARZ. JUAN ANTONIO FLORES SANTANA,07298,99
17 - MONTE PLATA,1704 - SABANA GRANDE DE BOYA,09135 - POLITECNICO LIC. YOLANDA ESTHER RIVERA,09135,99
10 - SANTO DOMINGO,1001 - VILLA MELLA,05858 - DUARTE,05858,101
14 - NAGUA,1404 - SAMANA,07803 - POLITECNICO ALFREDO PEÑA CASTILLO,07803,101
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06657 - POLITECNICO FRANCISCO ADALBERTO GARCIA PEREZ,06657,102
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,05433 - NUESTRA SEÑORA DEL ROSARIO DE FATIMA,05433,102
01 - BARAHONA,0103 - BARAHONA,06502 - POLITECNICO CRUCE DE PALO ALTO,06502,103
06 - LA VEGA,0602 - CONSTANZA,07221 - POLITECNICO NUESTRA SEÑORA DEL VALLE,07221,103
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,06019 - POLITECNICO MAYAJE,06019,103
